Symbol,Date,Open,High,Low,Close,Volume
MSFT,2025-05-08,437.93,443.67,435.66,438.17,23491330
MSFT,2025-05-07,433.84,438.12,431.1103,433.35,23307241
MSFT,2025-05-06,432.2,437.73,431.17,433.31,15104204
MSFT,2025-05-05,432.87,439.5,432.11,436.17,20136053
MSFT,2025-05-02,431.74,439.44,429.985,435.28,30757434
MSFT,2025-05-01,431.11,436.99,424.9,425.4,58938100
MSFT,2025-04-30,390.3,396.66,384.44,395.26,36461075
MSFT,2025-04-29,391.3,395.1,390.38,394.04,14973976
MSFT,2025-04-28,391.955,392.74,386.638,391.16,16579430
MSFT,2025-04-25,387.0,392.16,384.6,391.85,18973165
MSFT,2025-04-24,375.695,388.45,375.19,387.3,22232289
MSFT,2025-04-23,376.06,380.39,373.02,374.39,20545526
MSFT,2025-04-22,363.375,367.77,359.8602,366.82,19484993
MSFT,2025-04-21,362.815,364.48,355.67,359.12,20807279
MSFT,2025-04-17,373.745,374.3215,366.89,367.78,21120192
MSFT,2025-04-16,380.67,381.61,368.0,371.61,21967826
MSFT,2025-04-15,388.505,391.89,384.1599,385.73,17199890
MSFT,2025-04-14,393.22,394.65,384.21,387.81,19251172
GOOGL,2025-09-05,232.2,235.76,231.9,235.0,46588925
GOOGL,2025-09-04,229.65,232.37,226.11,232.3,51684167
GOOGL,2025-09-03,226.21,231.31,224.79,230.66,102090277
GOOGL,2025-09-02,208.44,211.675,206.195,211.35,47523037
GOOGL,2025-08-29,210.51,214.645,210.2,212.91,39728364
GOOGL,2025-08-28,207.25,212.22,206.9,211.64,32339307
GOOGL,2025-08-27,205.7,208.91,205.65,207.48,23022850
GOOGL,2025-08-26,207.51,207.85,205.7,207.14,28464130
GOOGL,2025-08-25,206.43,210.52,205.28,208.49,29928878
GOOGL,2025-08-22,202.73,208.54,201.3,206.09,42827040
GOOGL,2025-08-21,199.745,202.48,199.43,199.75,19774633
GOOGL,2025-08-20,200.73,201.28,196.595,199.32,28955498
GOOGL,2025-08-19,203.03,203.44,199.96,201.57,24240233
GOOGL,2025-08-18,204.2,205.265,202.49,203.5,18526594
GOOGL,2025-08-15,203.85,206.44,201.28,203.9,34931422
GOOGL,2025-08-14,201.5,204.44,201.225,202.94,25230427
GOOGL,2025-08-13,204.13,204.53,197.5101,201.96,28342922
GOOGL,2025-08-12,201.365,204.5,200.59,203.34,30424452
GOOGL,2025-08-11,200.935,201.475,199.07,201.0,25832435
GOOGL,2025-08-08,197.22,202.61,197.17,201.42,39161826
GOOGL,2025-08-07,197.06,197.54,194.33,196.52,26321811
GOOGL,2025-08-06,194.5,196.63,193.67,196.09,21562908
GOOGL,2025-08-05,194.71,197.8599,193.885,194.67,31602340
GOOGL,2025-08-04,190.29,195.27,190.12,195.04,31547350
GOOGL,2025-08-01,189.025,190.83,187.82,189.13,34832181
GOOGL,2025-07-31,195.71,195.99,191.09,191.9,51329163
GOOGL,2025-07-30,195.6,197.5999,194.685,196.53,32445405
GOOGL,2025-07-29,192.43,195.92,192.08,195.75,41389153
GOOGL,2025-07-28,193.65,194.05,190.84,192.58,38139504
GOOGL,2025-07-25,191.98,194.33,191.26,193.18,39785863
GOOGL,2025-07-24,197.03,197.95,191.0,192.17,74881687
GOOGL,2025-07-23,191.5,192.53,189.18,190.23,58681948
GOOGL,2025-07-22,191.495,191.645,187.46,191.34,44660215
GOOGL,2025-07-21,186.25,190.285,186.15,190.1,45803129
GOOGL,2025-07-18,185.4,186.42,183.71,185.06,34014509
GOOGL,2025-07-17,182.14,184.06,180.48,183.58,31992565
GOOGL,2025-07-16,183.235,184.327,182.03,182.97,33104193
GOOGL,2025-07-15,182.81,184.22,181.6,182.0,33448251
GOOGL,2025-07-14,181.01,183.67,179.68,181.56,32536632
GOOGL,2025-07-11,176.785,181.43,176.48,180.19,34282922
GOOGL,2025-07-10,175.63,178.429,174.38,177.62,29252386
GOOGL,2025-07-09,175.25,179.44,172.77,176.62,43025594
GOOGL,2025-07-08,177.85,177.95,172.81,174.36,40442535
GOOGL,2025-07-07,179.06,179.297,175.68,176.79,34175648
GOOGL,2025-07-03,178.5,179.67,177.05,179.53,21689729
GOOGL,2025-07-02,175.54,178.86,175.07,178.64,29128947
GOOGL,2025-07-01,175.735,176.09,173.53,175.84,35904526
GOOGL,2025-06-30,180.78,181.23,174.58,176.23,63378856
GOOGL,2025-06-27,173.54,178.68,171.73,178.53,108140200
GOOGL,2025-06-26,172.43,173.69,169.94,173.54,31796690
GOOGL,2025-06-25,167.63,172.36,167.55,170.68,35478989
GOOGL,2025-06-24,166.92,168.22,166.13,166.77,40524312
GOOGL,2025-06-23,166.27,167.34,162.0,165.19,57670985
GOOGL,2025-06-20,173.945,174.34,165.46,166.64,75659917
GOOGL,2025-06-18,176.01,176.56,173.2,173.32,28707524
GOOGL,2025-06-17,175.7,177.3648,174.58,175.95,24973043
GOOGL,2025-06-16,174.73,176.94,174.65,176.77,27389208
GOOGL,2025-06-13,172.44,177.13,172.385,174.67,27663107
GOOGL,2025-06-12,176.18,176.72,174.745,175.7,20941873
GOOGL,2025-06-11,179.77,180.37,176.75,177.35,31646757
GOOGL,2025-06-10,176.2,181.105,174.91,178.6,61766121
GOOGL,2025-06-09,174.54,176.47,174.37,176.09,28935906
GOOGL,2025-06-06,170.83,174.5,170.83,173.68,35731832
GOOGL,2025-06-05,170.34,170.93,167.59,168.21,36444564
GOOGL,2025-06-04,166.735,168.215,166.36,168.05,26900838
GOOGL,2025-06-03,167.49,168.475,165.28,166.18,45084903
GOOGL,2025-06-02,167.84,169.87,167.39,169.03,38612272
GOOGL,2025-05-30,171.35,172.205,167.44,171.74,52639911
GOOGL,2025-05-29,174.0,174.4193,170.63,171.86,29373803
GOOGL,2025-05-28,173.16,175.265,171.9107,172.36,34783997
GOOGL,2025-05-27,170.16,173.17,170.0,172.9,37995670
GOOGL,2025-05-23,169.055,169.96,167.89,168.47,35211439
GOOGL,2025-05-22,171.85,176.77,170.71,170.87,74864418
GOOGL,2025-05-21,163.69,173.14,163.56,168.56,73415956
GOOGL,2025-05-20,166.43,168.5,162.9,163.98,46607656
